name,sex
ခြောငယ်ငယ်ဟိန်း,1
ခြောထင်ကြော်စံ,1
ခြော်,1
ခွန်းခြိုသာ,1
ခွန်းရွှေဆက်နွေး,1
ငွေနှင်းမြူ,1
စီ,1
စိုးစိုးခိုင်,1
စိုးစိုးငြိန်း,1
စိုးစိုးညွန့်,1
စိုးစိုးထွန်း,1
စိုးစိုးနွယ်,1
စိုးစိုးမြင့်,1
စိုးစိုးလွင်,1
စိုးစိုးလှိုင်,1
စိုးစိုးဝင်း,1
စိုးစိုးအောင်,1
စိုးစိုးဦး,1
စောကြီ,1
စောတင်,1
စောနှင်းဝေ,1
စောယုမွန်,1
စောလှနွယ်,1
ဆူးရနံ့,1
ဆောင်းနှင်းဖြူ,1
ဆောင်းမိုးပွင့်,1
ဆွေဇင်ဝင်း,1
ဇင်ပွင့်ဖြူ,1
ဇူးဇင်ဇော်ဝင်း,1
ဇွန်နှင်းပွင့်အောင်,1
တင်နွယ်ဦး,1
တာရာခင်,1
တူးတူးလွင်,1
ထက်ပြည့်ပြည့်လွင်,1
ထက်မြတ်ဟန်,1
ထူးထူးဝေ,1
ထူးထူးအောင်,1
ထူးပြည့်ဝိုင်း,1
ဒာလီကြော်,1
နန်း,1
နန်းခြစ်ငြိန်းခြန်းကြော်,1
နန်းမွေ့လှိုင်,1
နန်းသိန်းဟန်,1
နိုင်နိုင်မော်,1
နိုင်နိုင်ဝင်း,1
နွယ်,1
နွေဦးမွန်,1
နှင်း,1
နှင်းဒေဝီ,1
နှင်းပွင့်ခြို,1
နှင်းမြတ်သွယ်အောင်,1
နှင်းယုနိုင်,1
နှင်းယုလှိုင်,1
နှင်းလပြည့်ဝန်း,1
နှင်းအဥ္ဇလီ,1
ပိုးပိုးအောင်,1
ပုံ့ပုံ့ဟန်,1
ပြည့်ဖူးမောင်,1
ပွင်းမှူးသာ,1
ဖူးပွင့်ကြော်,1
ဖူးပွင့်ခိုင်,1
ဖူးသွယ်နှင်း,1
ဖြိုးဝေလှိုင်,1
ဖြူလှိုင်သွယ်,1
မိုးပြည့်ပြည့်မောင်,1
မိုးပွင့်ငြိန်းဦး,1
မိုးမြင့်ဇော်,1
မူ,1
မူယာဖြိုးဟန်,1
မြိုးကေခိုင်,1
မြတ်နှင်းဦး,1
မွန်မွန်အောင်,1
မွန်မွန်ဦး,1
ရဲ,1
ရွှေဇင်ဖြိုး,1
လင်းလင်းထွန်း,1
လူလူအောင်,1
လေးလေးနွယ်,1
လဲ့နေဇင်ခိုင်,1
ဝင့်သူကြော်,1
ဝတ်မှုန်ထက်,1
သိမ့်ပိုပိုအောင်,1
သိမ့်သိမ့်သူ,1
သိမ့်သိမ့်ဟန်,1
သိမ့်သိမ့်အောင်,1
သော်သော်အောင်,1
သဲဆုဟန်,1
သွန်းထက်စံ,1
သွန်းပြည့်ပြည့်သူ,1
သွယ်ဆက်ပိုင်,1
ဟန်ကေဖြိုးသွယ်,1
ဟန်ဇင်စိုး,1
ဟန်နွေးသိမ့်,1
ဟန်သာနွယ်,1
ဟန်သီထွန်း,1
ဟေသာမောင်,1
အေးခြန်းငြိန်း,1
အေးခြန်းဖြိုး,1
အေးခြန်းမြေ့,1
အေးခြန်းမွန်ဇော်,1
အေးငြိန်းခိုင်,1
အေးငြိန်းခြန်းကြော်,1
အေးငြိန်းခြန်းဦး,1
အေးငြိန်းစိုး,1
အေးငြိန်းဇော်,1
အေးနှင်းခိုင်,1
အေးနှင်းပွင့်,1
အေးမြတ်ကိုကို,1
အေးအေးကြော်,1
အေးအေးဟန်,1
ဦး,1
ကောင်းဇာနီ,0
ကောင်းမင်းခန့်,0
ကောင်းသန့်ဝင်း,0
ကောင်းသန့်လွင်,0
ခင်စိုးမင်း,0
ခြစ်စန်းမောင်,0
ခြိုလေး,0
ခွန်ကြော်သန်း,0
စဖြိုးသူထက်,0
စိုင်းစစ်ပိုင်ဦး,0
စိုင်းတင်မြင့်,0
စိုင်းနန္တာ,0
စိုင်းသန်းဝင်း,0
စောကြီဖြူ,0
စောတင်ဝင်း,0
စောနွိုင်းသန်းစိန်,0
စောမိုးမြင့်,0
စောလှဖြူ,0
ဇာနီ,0
ဇာနီထွန်း,0
ဇာနီမောင်,0
ဇာနီအောင်,0
ဇော်သီက,0
တင်မိုးလွင်,0
တင်မိုးအောင်,0
တင်လေး,0
နီနီ,0
ပိုင်မင်းစိုး,0
မင်းမင်း,0
မင်းမင်းစိုး,0
မင်းမင်းဇော်,0
မင်းမင်းထွန်း,0
မင်းမင်းလက်,0
မင်းမင်းသိန်း,0
မင်းမင်းဦး,0
မာ,0
မိုးထက်မြင့်,0
မော်မော်,0
မြတ်ခြိုဝင်း,0
မြတ်သင်းအောင်,0
မြသန်း,0
မှူးသက်ပိုင်ကြော်,0
ရန်ခြန်းဝင်း,0
လှဝင်းဌေး,0
ဝင်းမင်းထွန်း,0
ဝင်းမြင့်သန်း,0
ဝင်းသီ,0
ဝသန်ထင်လင်း,0
သက်,0
သင်း,0
သန့်,0
သန်း,0
သန်းဆုနိုင်,0
ဟိန်းမင်းသန့်,0
အောင်စစ်ပိုင်မှူး,0
အောင်ပြေဆုန်,0
အောင်မြင့်မြတ်,0
အေးမင်း,0
အေးမင်းခြို,0
အေးမင်းစိုး,0
အေးမင်းထွန်း,0
အေးမင်းဦး,0
အေးမင်းဦး,0
အေးမြင့်,0
အေးအေး,0
ဥက္ကာစိုးခန့်,0
