name,sex,length
ကြီမြင့်,1,2
ကြီမြိုင်,1,2
ကြီမွေး,1,2
ကြီယုံ,1,2
ကြီရင်,1,2
ကြီရီ,1,2
ကြီရုန်း,1,2
ကြီလေး,1,2
ကြီလဲ့လဲ့ဦး,1,4
ကြီလွန်း,1,2
ကြီလှ,1,2
ကြီလှိုင်,1,2
ကြီဝင်း,1,2
ကြီဝာ,1,2
ကြီဝေ,1,2
ကြီသန်း,1,2
ကြီသာမင်းမွန်,1,4
ကြီသိန်း,1,2
ကြီသီ,1,2
ကြယ်စင်လင်းလက်,1,4
ကြယ်စင်ဝင်း,1,3
ကြယ်စင်ဝင်းလှိုင်,1,4
ကြိုင်ကြိုင်,1,2
ကြိုင်ဝဿုန်ထက်,1,6
ကြူကြူ,1,2
ကြူကြူခင်,1,3
ကြူကြူခိုင်,1,3
ကြူကြူစိန်,1,3
ကြူကြူဆန်း,1,3
ကြူကြူဆွေ,1,3
ကြူကြူမင်း,1,3
ကြူကြူမာ,1,3
ကြူကြူမေ,1,3
ကြူကြူမြင့်,1,3
ကြူကြူရှိန်း,1,3
ကြူကြူလွင်,1,3
ကြူကြူလှ,1,3
ကြူကြူဝင်း,1,3
ကြူကြူသင်း,1,3
ကြူကြူသန်း,1,3
ကြူကြူအောင်,1,3
ကြူကြူအေး,1,3
ကြေးမုံကြော့ဝင်း,1,4
ကြေးမုံသွင်,1,3
ကြွယ်ကြွယ်,1,2
ခင်ကြီမြင့်,1,3
ခင်ကြူ,1,2
ခင်ကြူကြူ,1,3
ခင်ကြွယ်,1,2
ခင်ခင်,1,2
ခင်ခင်ကြီ,1,3
ခင်ခင်ကြီး,1,3
ခင်ခင်ကြူ,1,3
ခင်ခင်ခြို,1,3
ခင်ခင်ငယ်သွေး,1,4
ခင်ခင်ငြိန်း,1,3
ခင်ခင်စီ,1,3
ခင်ခင်စိန်,1,3
ခင်ခင်စိုး,1,3
ခင်ခင်စော,1,3
ခင်ခင်ဆန်း,1,3
ခင်ခင်ဆု,1,3
ခင်ခင်ဆွေ,1,3
ခင်ခင်ညို,1,3
ခင်ခင်ညွန့်,1,3
ခင်ခင်ဌေး,1,3
ခင်ခင်တင့်,1,3
ခင်ခင်ထက်,1,3
ခင်ခင်ထား,1,3
ခင်ခင်ထွန်း,1,3
ခင်ခင်ထွေး,1,3
ခင်ခင်နု,1,3
ခင်ခင်နွယ်,1,3
ခင်ခင်ပြုံး,1,3
ခင်ခင်မိုး,1,3
ခင်ခင်မော်,1,3
ခင်ခင်မြိုး,1,3
ခင်ခင်မြ,1,3
ခင်ခင်မြင့်,1,3
ခင်ခင်ယု,1,3
ခင်ခင်ရီ,1,3
ခင်ခင်ရဲ,1,3
ခင်ခင်ရွှေ,1,3
ခင်ခင်ရှိန်,1,3
ခင်ခင်လက်,1,3
ခင်ခင်လေး,1,3
ခင်ခင်လှ,1,3
ခင်ခင်ဝင်း,1,3
ခင်ခင်ဝေ,1,3
ခင်ခင်သန်း,1,3
ခင်ခင်သိန်း,1,3
ခင်ခင်သောင်း,1,3
ခင်ခင်အုံး,1,3
ခင်ခင်အေး,1,3
ခင်ခင်ဦး,1,3
ခင်ခြန်းမြေ့ထွန်း,1,4
ခင်ခြယ်စုစံ,1,4
ခင်ခြိုခန့်,1,3
ခင်ခြိုခြို,1,3
ခင်ခြိုခြိုဦး,1,4
ခင်ခြိုမြင့်,1,3
ခင်ခြိုလွင်,1,3
ခင်ခြိုဝင်း,1,3
ခင်ခြိုသက်,1,3
ခင်ခြိုဦး,1,3
ခင်ခြောခြောမေ,1,4
ခင်ခြောစုယဉ်,1,4
ခင်ငြိန်းခန့်,1,3
ခင်ငြိန်းခြန်း,1,3
ခင်ငြိန်းခြန်းကြော်,1,4
ခင်ငြိန်းငြိန်း,1,3
ခင်စီ,1,2
ခင်စန္ဒာ,1,3
ခင်စန္ဒာကြော်,1,4
ခင်စန္ဒာမြင့်,1,4
ခင်စန္ဒာဝင်း,1,4
ခင်စိန်မြင့်,1,3
ခင်စိန်ဝင်း,1,3
ခင်စိုးစိုး,1,3
ခင်စိုးထွက်,1,3
ခင်စိုးမိုးဝင်း,1,4
ခင်စိုးမြင့်,1,3
ခင်စိုးရီ,1,3
ခင်စိုးလွင်,1,3
ခင်စိုးဝင်း,1,3
ခင်စုစုဝင်း,1,4
ခင်စုထက်,1,3
ခင်စုမွန်,1,3
ခင်စူ,1,2
ခင်စောနွယ်,1,3
ခင်စောနှင်း,1,3
ခင်စောမူ,1,3
ခင်စောမြင့်,1,3
ခင်စောရီ,1,3
ခင်စောလွင်,1,3
ခင်စောလှ,1,3
ခင်စောဝင်း,1,3
ခင်စောဝေ,1,3
ခင်စောဦး,1,3
ခင်စံပယ်ဦး,1,4
ခင်ဆင့်,1,2
ခင်ဆန်း,1,2
ခင်ဆန်းကြီ,1,3
ခင်ဆန်းကြူ,1,3
ခင်ဆန်းဆန်း,1,3
ခင်ဆန်းညွန့်,1,3
ခင်ဆန်းဌေး,1,3
ခင်ဆန်းတင်,1,3
ခင်ဆန်းတင့်,1,3
ခင်ဆန်းထွေး,1,3
ခင်ဆန်းနွယ်,1,3
ခင်ဆန်းမူ,1,3
ခင်ဆန်းမေ,1,3
ခင်ဆန်းမော်,1,3
ခင်ဆန်းမြင့်,1,3
ခင်ဆန်းယု,1,3
ခင်ဆန်းရင်,1,3
ခင်ဆန်းရီ,1,3
ခင်ဆန်းရဲ,1,3
ခင်ဆန်းရွှေ,1,3
ခင်ဆန်းလင်း,1,3
ခင်ဆန်းလွင်,1,3
ခင်ဆန်းလှိုင်,1,3
ခင်ဆန်းဝင်း,1,3
ခင်ဆန်းဝေ,1,3
ခင်ဆန်းအေး,1,3
ခင်ဆန်းဦး,1,3
ခင်ဆု,1,2
ခင်ဆုဆု,1,3
ခင်ဆုလှိုင်,1,3
ခင်ဆုဝင်း,1,3
ခင်ဆုဝေ,1,3
ခင်ဆွေတင့်,1,3
ခင်ဆွေမြင့်,1,3
ခင်ဆွေယု,1,3
ခင်ဆွေရီ,1,3
ခင်ဆွေလှိုင်,1,3
ခင်ဆွေဝင်း,1,3
ခင်ဆွေသန်း,1,3
ခင်ဆွေသိန်း,1,3
ခင်ဆွေအေး,1,3
ခင်ဆွေဦး,1,3
ခင်ဇာစိုး,1,3
ခင်ဇာလီထွန်း,1,4
ခင်ညိုညို,1,3
ခင်ညိုဝင်း,1,3
ခင်ညွန့်ညွန့်,1,3
ခင်ညွန့်ရီ,1,3
ခင်ညွန့်ဝေ,1,3
ခင်ဌေးကြီ,1,3
ခင်ဌေးနွယ်,1,3
ခင်ဌေးမော်,1,3
ခင်ဌေးမြင့်,1,3
ခင်ဌေးရီ,1,3
ခင်ဌေးလှိုင်,1,3
ခင်ဌေးဝင်း,1,3
ခင်ဌေးဦး,1,3
ခင်တင့်,1,2
ခင်တိုးမြင့်,1,3
ခင်တုတ်,1,2
ခင်ထက်ထက်အောင်,1,4
ခင်ထား,1,2
ခင်ထားမြင့်,1,3
ခင်ထားရီ,1,3
ခင်ထားဦး,1,3
ခင်ထူး,1,2
ခင်ထွေးကြီ,1,3
ခင်ထွေးမြင့်,1,3
ခင်ထွေးရီ,1,3
ခင်ထွေးရဲ,1,3
ခင်နန်းမူ,1,3
ခင်နီ,1,2
ခင်နီလာစိုးမိုး,1,5
ခင်နု,1,2
ခင်နုနု,1,3
ခင်နွယ်,1,2
ခင်နွယ်နွယ်,1,3
ခင်နွယ်နွယ်စိုး,1,4
ခင်နွယ်မူ,1,3
ခင်နွယ်မြင့်,1,3
ခင်နွယ်ရီ,1,3
ခင်နွယ်ဝင်း,1,3
ခင်နွယ်အေး,1,3
ခင်နွယ်ဦး,1,3
ခင်နှင်း,1,2
ခင်နှင်းကြီ,1,3
ခင်နှင်းကြီသာ,1,4
ခင်နှင်းစီ,1,3
ခင်နှင်းဆွေ,1,3
ခင်နှင်းဖြူ,1,3
ခင်နှင်းယု,1,3
ခင်နှင်းရီ,1,3
ခင်နှင်းလွင်,1,3
ခင်နှင်းဝေ,1,3
ခင်နှင်းအေး,1,3
ခင်နှင်းဦး,1,3
ခင်ပန်းခြီ,1,3
ခင်ပို,1,2
ခင်ပိုးအိဇော်,1,4
ခင်ပူ,1,2
ခင်ပြုံး,1,2
ခင်ပြုံးကြီ,1,3
ခင်ပြုံးပြုံး,1,3
ခင်ပြုံးရီ,1,3
ခင်ပြုံးရွှေ,1,3
ခင်ပြုံးဝင်း,1,3
ခင်ဖုန်း,1,2
ခင်ဖုန်းမြင့်,1,3
ခင်ဖြူ,1,2
ခင်ဖြူဇင်ထိုက်,1,4
ခင်ဖြူဖြူ,1,3
ခင်ဖြူဝင်း,1,3
ခင်မ,1,2
ခင်မကြီး,1,3
ခင်မမ,1,3
ခင်မမစိုး,1,4
ခင်မလေး,1,3
ခင်မာ,1,2
ခင်မာကြီ,1,3
ခင်မာကြူ,1,3
ခင်မာခြို,1,3
ခင်မာစီ,1,3
ခင်မာစန်း,1,3
ခင်မာစိန်,1,3
ခင်မာစိုး,1,3
ခင်မာဆွေ,1,3
ခင်မာညို,1,3
ခင်မာဌေး,1,3
ခင်မာတင်,1,3
ခင်မာထွေး,1,3
ခင်မာနွယ်,1,3
ခင်မာမာ,1,3
ခင်မာမြင့်,1,3
ခင်မာရီ,1,3
ခင်မာရွှေ,1,3
ခင်မာလာ,1,3
ခင်မာလာကြော်,1,4
ခင်မာလေး,1,3
ခင်မာလွင်,1,3
ခင်မာဝေ,1,3
ခင်မာသန်း,1,3
ခင်မာသီ,1,3
ခင်မာသွင်,1,3
ခင်မာအေး,1,3
ခင်မာဦး,1,3
ခင်မာဝင်း,1,3
ခင်မို့မို့,1,3
ခင်မို့မို့ဟန်,1,4
ခင်မိုးဆွေ,1,3
ခင်မိုးမိုး,1,3
ခင်မိုးမြင့်,1,3
ခင်မိုးလွင်,1,3
ခင်မိုးသူ,1,3
ခင်မိုးအေး,1,3
ခင်မီ,1,2
ခင်မီမီ,1,3
ခင်မီမီလှိုင်,1,4
ခင်မူ,1,2
ခင်မူမူ,1,3
ခင်မူအေး,1,3
ခင်မေ,1,2
ခင်မေကြီ,1,3
ခင်မေကြီး,1,3
ခင်မေခြစ်,1,3
ခင်မေစီ,1,3
ခင်မေစိန်,1,3
ခင်မေစိုး,1,3
ခင်မေဇော်,1,3
ခင်မေညွန့်,1,3
ခင်မေဌေး,1,3
ခင်မေတင်,1,3
ခင်မေမြင့်,1,3
ခင်မေယု,1,3
ခင်မေရီ,1,3
ခင်မေလင်း,1,3
ခင်မေလွင်,1,3
ခင်မေလှ,1,3
ခင်မေဝင်း,1,3
ခင်မေသက်,1,3
ခင်မေသန်း,1,3
ခင်မေသိန်း,1,3
ခင်မေသီ,1,3
ခင်မေအုံး,1,3
ခင်မေအောင်,1,3
ခင်မေအေး,1,3
ခင်မေဦး,1,3
ခင်မြိုး,1,2
ခင်မြိုးကြီ,1,3
ခင်မြိုးခိုင်,1,3
ခင်မြိုးခြစ်,1,3
ခင်မြိုးဆွေ,1,3
ခင်မြိုးညွန့်,1,3
ခင်မြိုးတင့်,1,3
ခင်မြိုးတင့်,1,3
ခင်မြိုးနွယ်,1,3
ခင်မြိုးမြင့်,1,3
ခင်မြိုးမြတ်,1,3
ခင်မြိုးရီ,1,3
ခင်မြိုးလှ,1,3
ခင်မြိုးဝင်း,1,3
ခင်မြိုးသက်,1,3
ခင်မြိုးသန့်,1,3
ခင်မြိုးသူ,1,3
ခင်မြိုးအေး,1,3
ခင်မြိုးဦး,1,3
ခင်မြင့်ကြီ,1,3
ခင်မြင့်ဆွေ,1,3
ခင်မြင့်ထွေး,1,3
ခင်မြင့်မေ,1,3
ခင်မြင့်မော်,1,3
ခင်မြင့်မြင့်,1,3
ခင်မြင့်ရီ,1,3
ခင်မြင့်ဝင်း,1,3
ခင်မြင့်ဝေ,1,3
ခင်မြင့်သန်း,1,3
ခင်မြင့်အေး,1,3
ခင်မြင့်ဦး,1,3
ခင်မြစိန်,1,3
ခင်မြတ်ဆွေ,1,3
ခင်မြတ်နိုးထက်,1,4
ခင်မြတ်နိုးဦး,1,4
ခင်မြတ်နွယ်,1,3
ခင်မြတ်မူ,1,3
ခင်မြတ်မွန်,1,3
ခင်မြတ်သက်,1,3
ခင်မြတ်သူ,1,3
ခင်မြမူ,1,3
ခင်မြမြ,1,3
ခင်မြမွန်,1,3
ခင်မြဝင်း,1,3
ခင်မြဝေ,1,3
ခင်မြသန်း,1,3
ခင်မြသွေး,1,3
ခင်မြအေး,1,3
ခင်မြဦး,1,3
ခင်မြိုင်,1,2
ခင်မွေး,1,2
ခင်ယု,1,2
ခင်ယုမေ,1,3
ခင်ယုဝေ,1,3
ခင်ရတနာကြော်,1,5
ခင်ရတနာမြင့်,1,5
ခင်ရီ,1,2
ခင်ရီမြင့်,1,3
ခင်ရုန်း,1,2
ခင်ရဲ,1,2
ခင်ရွှေဝင်း,1,3
ခင်ရွှေဦး,1,3
ခင်လင်းဦး,1,3
ခင်လပြည့်ထွန်း,1,4
ခင်လိမ္မာ,1,3
ခင်လေး,1,2
ခင်လေးကြီ,1,3
ခင်လေးကြူ,1,3
ခင်လေးဆွေ,1,3
ခင်လေးနွယ်,1,3
ခင်လေးမော်,1,3
ခင်လေးမြင့်,1,3
ခင်လေးယု,1,3
ခင်လေးရီ,1,3
ခင်လေးဝင်း,1,3
ခင်လှကြီ,1,3
ခင်လှစိန်,1,3
ခင်လှတင်,1,3
ခင်လှမူ,1,3
ခင်လှမြင့်,1,3
ခင်လှမြိုင်,1,3
ခင်လှရီ,1,3
ခင်လှလှ,1,3
ခင်လှဝင်း,1,3
ခင်လှဝေ,1,3
ခင်လှအေး,1,3
ခင်လှဦး,1,3
ခင်ဝင့်ဝာ,1,3
ခင်ဝင်း,1,2
ခင်ဝင်းကြီ,1,3
ခင်ဝင်းကြူ,1,3
ခင်ဝင်းစိန်,1,3
ခင်ဝင်းဆွေ,1,3
ခင်ဝင်းတင့်,1,3
ခင်ဝင်းနွယ်,1,3
ခင်ဝင်းမာ,1,3
ခင်ဝင်းမေ,1,3
ခင်ဝင်းမော်,1,3
ခင်ဝင်းမြင့်,1,3
ခင်ဝင်းရီ,1,3
ခင်ဝင်းရွှေ,1,3
ခင်ဝင်းဝင်း,1,3
ခင်ဝာ,1,2
ခင်ဝာဝာ,1,3
ခင်ဝိုင်း,1,2
ခင်ဝေ,1,2
ခင်ဝေယံ,1,3
ခင်သက်,1,2
ခင်သက်ဆွေ,1,3
ခင်သက်တင်,1,3
ခင်သက်နွယ်,1,3
ခင်သက်ဝေ,1,3
ခင်သစ္စာကြော်,1,4
ခင်သန္တာ,1,3
ခင်သန္တာစိုး,1,4
ခင်သန့်ဇင်,1,3
ခင်သန်းကြီ,1,3
ခင်သန်းစီ,1,3
ခင်သန်းစိန်,1,3
ခင်သန်းဆု,1,3
ခင်သန်းဆွေ,1,3
ခင်သန်းညွန့်,1,3
ခင်သန်းဌေး,1,3
ခင်သန်းတင်,1,3
ခင်သန်းထွေး,1,3
ခင်သန်းနိုင်,1,3
ခင်သန်းနု,1,3
ခင်သန်းနွယ်,1,3
ခင်သန်းနွဲ့,1,3
ခင်သန်းမြင့်,1,3
ခင်သန်းယု,1,3
ခင်သန်းရင်,1,3
ခင်သန်းရီ,1,3
ခင်သန်းရွှေ,1,3
ခင်သန်းလွင်,1,3
ခင်သန်းလှ,1,3
ခင်သန်းဝင်း,1,3
ခင်သန်းဝေ,1,3
ခင်သန်းအေး,1,3
ခင်သန်းဦး,1,3
ခင်သိန်း,1,2
ခင်သိန်းမြင့်,1,3
ခင်သိန်းရီ,1,3
ခင်သိန်းဝင်း,1,3
ခင်သိန်းအေး,1,3
ခင်သိန်းဦး,1,3
ခင်သီ,1,2
ခင်သီတာ,1,3
ခင်သီတာစိုး,1,4
ခင်သီတာထွန်း,1,4
ခင်သီတာလွင်,1,4
ခင်သီတာဝင်း,1,4
ခင်သီတာသိမ့်,1,4
ခင်သီတာအေး,1,4
ခင်သီရိခေတ်,1,4
ခင်သီရိဇွန်,1,4
ခင်သီရိနိုင်,1,4
ခင်သူ,1,2
ခင်သူဇာ,1,3
ခင်သူဇာဝင်း,1,4
ခင်အိ,1,2
ခင်အုံးကြီ,1,3
ခင်အုံးမြင့်,1,3
ခင်အုံးရီ,1,3
ခင်အေးကြော်,1,3
ခင်အေးကြီ,1,3
ခင်အေးကြူ,1,3
ခင်အေးခြို,1,3
ခင်အေးဆွေ,1,3
ခင်အေးတင့်,1,3
ခင်အေးနွယ်,1,3
ခင်အေးမူ,1,3
ခင်အေးမော်,1,3
ခင်အေးမြင့်,1,3
ခင်အေးမွန်,1,3
ခင်အေးရီ,1,3
ခင်အေးလွင်,1,3
ခင်အေးဝင်း,1,3
ခင်အေးသန်း,1,3
ခင်အေးသာ,1,3
ခင်အေးသီ,1,3
ခင်ဥမ္မာ,1,3
ခင်ဦးမေ,1,3
ခတ္တာ,1,2
ခရေ,1,2
ခိုင်ခိုင်,1,2
ခိုင်ခိုင်စိုး,1,3
ခိုင်ခိုင်ညွန့်,1,3
ခိုင်ခိုင်ထွန်း,1,3
ခိုင်ခိုင်မာ,1,3
ခိုင်ခိုင်မြင့်,1,3
ခိုင်ခိုင်ဝင်း,1,3
ခိုင်ခိုင်ဝေ,1,3
ခိုင်ခိုင်ဦး,1,3
ခိုင်ခြောစုဟန်,1,4
ခိုင်ငြိန်းဝေ,1,3
ခိုင်စုမြင့်မွန်,1,4
ခိုင်စုမွန်,1,3
ခိုင်ဇင်ဆွေ,1,3
ခိုင်ဇင်ဇင်သင်း,1,4
ခိုင်ဇင်ဖြိုး,1,3
ခိုင်ဇင်ဝေ,1,3
ခိုင်ဇင်သူ,1,3
ခိုင်ဇင်သော်,1,3
ခိုင်ဇာခြီ,1,3
ခိုင်ဇာမော်မော်,1,4
ခိုင်ဇာဝင့်,1,3
ခိုင်ဇော်,1,2
ခိုင်နန္ဒာလင်း,1,4
ခိုင်နှင်း,1,2
ခိုင်နှင်းဝေ,1,3
ခိုင်ပပမိုး,1,4
ခိုင်မီမီဇော်,1,4
ခိုင်မီမီဖြိုး,1,4
ခိုင်ယုအောင်,1,3
ခိုင်ဝင့်ဝာသော်,1,4
ခိုင်ဝာ,1,2
ခိုင်ဝေလွင်,1,3
ခိုင်သင်ဇာ,1,3
ခိုင်သင်ဇာစိုး,1,4
ခိုင်သဇင်,1,3
ခိုင်သဇင်ကြော်,1,4
ခိုင်သဇင်စိုး,1,4
ခိုင်သဇင်နွယ်,1,4
ခိုင်သဇင်ဖြူ,1,4
ခိုင်သဇင်သက်,1,4
ခိုင်သန္တာမွန်,1,4
ခိုင်သိင်္ဂီမော်,1,4
ခိုင်သီရိ,1,3
ခိုင်သူဇာဝေ,1,4
ခြစ်ခြစ်,1,2
ခြစ်ခြစ်ဇော်,1,3
ခြစ်ခွန်းခြို,1,3
ခြစ်စုရီ,1,3
ခြစ်စုဝင်း,1,3
ခြစ်စုသွယ်,1,3
ခြစ်စုသွေး,1,3
ခြစ်ဆုရီ,1,3
ခြစ်ဇွဲသာ,1,3
ခြစ်ဖြိုးဖြိုးဝေ,1,4
ခြစ်မေ,1,2
ခြစ်ရွှေရီ,1,3
ခြစ်ဝဿုန်ကြော်,1,6
ခြစ်သက်ဝေ,1,3
ခြစ်သီရိဟန်,1,4
ခြစ်သုဝေ,1,3
ခြန်းခြန်း,1,2
ခြန်းခြန်းပိုင်,1,3
ခြန်းမြတ်သီရိသူ,1,5
ခြန်းမြေကြီ,1,3
ခြန်းမြေ့ကြီသာ,1,4
ခြန်းမြေ့ခိုင်,1,3
ခြန်းမြေ့သန္တာဆွေ,1,5
ခြန်းသီရိ,1,3
ခြယ်ရီ,1,2
ခြယ်ရီခင်,1,3
ခြယ်ရီခိုင်စိုး,1,4
ခြယ်ရီဖြူ,1,3
ခြယ်ရီမြိုး,1,3
ခြယ်ရီမြင့်အောင်,1,4
ခြယ်ရီလင်းလက်ခြို,1,5
ခြယ်ရီဝင်းလွင်,1,4
ခြယ်ရီအောင်ညွန့်,1,4
ခြိန့်စန္ဒီ,1,3
ခြိုခြို,1,2
ခြိုခြိုခင်,1,3
ခြိုခြိုခိုင်,1,3
ခြိုခြိုဆန်း,1,3
ခြိုခြိုညွန့်,1,3
ခြိုခြိုတင်,1,3
ခြိုခြိုထွန်း,1,3
ခြိုခြိုထွေး,1,3
ခြိုခြိုနိုင်,1,3
ခြိုခြိုပြုံး,1,3
ခြိုခြိုမာ,1,3
ခြိုခြိုမော်,1,3
ခြိုခြိုမြင့်,1,3
ခြိုခြိုလေး,1,3
ခြိုခြိုလွင်,1,3
ခြိုခြိုဝင်း,1,3
ခြိုခြိုသက်,1,3
ခြိုခြိုသင်း,1,3
ခြိုခြိုသန်း,1,3
ခြိုခြိုသိန်း,1,3
ခြိုခြိုအောင်,1,3
ခြိုခြိုအေး,1,3
ခြိုခြိုဦး,1,3
ခြိုဇင်,1,2
ခြိုဇင်စု,1,3
ခြိုဇင်နွယ်ထွန်း,1,4
ခြိုဇင်မာဝင်း,1,4
ခြိုဇင်မွန်,1,3
ခြိုနွယ်ဦး,1,3
ခြိုမာ,1,2
ခြိုမာဌေး,1,3
ခြိုမာလွင်,1,3
ခြိုမာဦး,1,3
ခြိုမီဟန်,1,3
ခြိုယဉ်လဲ့,1,3
ခြိုလေးမာ,1,3
ခြိုသီ,1,2
ခြူးခြူးဟန်နီဇော်,1,5
ခြူးဝတ်ရီကြော်,1,4
ခြူးသက်နွယ်,1,3
ခြူးဟေဇယ်ယွန်း,1,4
ခြူးအိန်စံ,1,3
ခြောကလြာ,1,3
ခြောကလြာထက်,1,4
ခြောခြောထားနွယ်,1,4
ခြောငယ်ငယ်ဟိန်း,1,4
ခြောစုခင်,1,3
ခြောစုငယ်,1,3
ခြောစုလွင်,1,3
ခြောစုလှိုင်,1,3
ခြောစုသူဇာ,1,4
ခြောစုဝေ,1,3
ခြောထင်ကြော်စံ,1,4
ခြောမို့မို့ခန့်,1,4
ခြောမြတ်သီရိ,1,4
ခြောရတနာ,1,4
ခြောရတနာလွင်,1,5
ခြောအိအိထူး,1,4
ခြော်,1,1
ခြော်ခြော်,1,2
ခြော်ဆု,1,2
ခြော်ဆုလွင်,1,3
ခြော်ဆုလှိုင်,1,3
ခြူးစန္ဒီ,1,3
ခြူးမြတ်,1,2
ခြူးရနံ့,1,3
ခြူးလေး,1,2
ခြူးသီရိ,1,3
ခြူးသီရိဇော်,1,4
ခြူးသီရိနွယ်,1,4
ခြူးသီရိမောင်,1,4
ခွန်းခြိုသာ,1,3
ခွန်းရွှေဆက်နွေး,1,4
ခွာညို,1,2
ဂြူးသက်ခြယ်,1,3
ဂြူးသက်ဇင်,1,3
ငြိန်းငြိန်း,1,2
ငြိန်းငြိန်းမြင့်,1,3
ငြိန်းငြိန်းဝင်း,1,3
ငြိန်းငြိန်းအေး,1,3
ငြိန်းတင်,1,2
ငြိန်းမို့မို့လွင်,1,4
ငြိန်းရင်,1,2
ငြိန်းအိန္ဒြာပို,1,4
ငြိန်းအေး,1,2
ငြိန်းအေးလှိုင်,1,3
ငွေကြီ,1,2
ငွေခင်,1,2
ငွေစင်လင်းလက်,1,4
ငွေစိန်,1,2
ငွေနှင်းမြူ,1,3
ငွေမှုန်ရတီ,1,4
ငွေရင်,1,2
ငွေရီ,1,2
စကား,1,2
စကားဝာ,1,3
စီ,1,1
စီစီ,1,2
စီစီမာ,1,3
စီစီမြင့်,1,3
စီစီလွင်,1,3
စီစီဝင်း,1,3
စီစီသန်း,1,3
စန္ဒကူး,1,3
စန္ဒာ,1,2
စန္ဒာကြော်,1,3
စန္ဒာကြီ,1,3
စန္ဒာခင်,1,3
စန္ဒာခြို,1,3
စန္ဒာစိုး,1,3
စန္ဒာတင်,1,3
စန္ဒာထွန်း,1,3
စန္ဒာထွေး,1,3
စန္ဒာမင်း,1,3
စန္ဒာမိုး,1,3
စန္ဒာမြင့်,1,3
စန္ဒာလင်း,1,3
စန္ဒာလွင်,1,3
စန္ဒာဝင်း,1,3
စန္ဒာသန်း,1,3
စန္ဒာအောင်,1,3
စန္ဒာအေး,1,3
စန္ဒာဦး,1,3
စန္ဒီစိုးထက်,1,4
စန္ဒီထွန်း,1,3
စန္ဒီဖူးဝေ,1,4
စန္ဒီမိုးမြင့်,1,4
စန္ဒီမောင်,1,3
စန်းစန်းဌေး,1,3
စန်းစန်းမြင့်,1,3
စန်းစန်းဝင်း,1,3
စန်းအိဖြူ,1,3
စိန်ကြီ,1,2
စိန်ခင်,1,2
စိန်စိန်,1,2
စိန်စိန်ဌေး,1,3
စိန်စိန်မြင့်,1,3
စိန်စိန်ရီ,1,3
စိန်စိန်ဝင်း,1,3
စိန်စိန်အေး,1,3
စိန်နွယ်,1,2
စိန်မေ,1,2
စိန်မွေး,1,2
စိန်ယမင်းအောင်,1,4
စိန်သီ,1,2
စိမ့်ဝင်းရီ,1,3
